timestamp,arm_x,arm_y,arm_z,leg_x,leg_y,leg_z
457948708,2.43,-2.08,1.61,0.11,-0.27,-0.62
457958641,2.13,-2.04,1.49,0.07,-0.30,-0.51
457968650,1.80,-1.97,1.37,0.14,-0.26,-0.48
457978640,1.53,-1.84,1.16,0.29,-0.18,-0.50
457988640,1.30,-1.78,0.89,0.41,-0.07,-0.53
457998641,1.04,-1.63,0.66,0.43,-0.04,-0.52
458008639,0.72,-1.44,0.46,0.46,-0.07,-0.46
458018638,0.44,-1.25,0.27,0.43,-0.09,-0.39
458028646,0.17,-1.01,0.14,0.42,-0.06,-0.38
458038645,-0.02,-0.73,-0.05,0.54,-0.03,-0.36
458048637,-0.31,-0.50,-0.24,0.56,-0.05,-0.25
458058638,-0.88,-0.25,-0.15,0.48,-0.11,-0.19
458068656,-1.52,0.12,-0.25,0.64,-0.26,-0.21
458078641,-1.87,0.48,-0.28,0.64,-0.26,-0.21
458088637,-1.74,0.49,-0.20,0.90,-0.41,-0.18
458098638,-1.32,0.14,-0.26,1.19,-0.12,-0.24
458108640,-1.09,-0.08,-0.50,1.42,0.38,-0.21
458118639,-1.04,-0.04,-0.40,1.65,0.80,-0.16
458128642,-0.83,-0.08,-0.40,1.85,1.87,0.19
458138641,-0.83,-0.08,-0.40,1.42,1.49,0.95
458150640,-0.56,-0.21,-0.24,0.62,1.61,0.71
458160733,-0.43,-0.04,-0.22,0.92,2.78,-0.27
458170640,-0.29,0.14,-0.32,1.43,2.77,-0.19
458180640,-0.23,0.18,-0.31,2.71,4.00,1.15
458190641,-0.08,0.09,-0.36,2.64,3.09,2.79
458200639,0.11,-0.16,-0.48,-0.24,-3.50,0.85
458210757,0.35,-0.45,-0.42,0.97,-1.91,0.65
458220674,0.35,-0.45,-0.42,1.36,-0.43,-1.12
458230639,0.67,-0.98,-0.12,1.57,-0.05,-2.54
458240640,1.04,-1.68,0.20,2.65,0.90,-0.87
458250639,1.55,-2.25,0.17,2.38,0.64,1.24
458260755,1.92,-2.25,0.15,1.69,0.25,0.20
458270692,2.01,-1.71,0.26,0.94,0.68,-0.69
458280642,2.23,-1.16,0.40,0.51,0.93,-0.16
458290637,3.05,-0.99,0.52,0.31,0.96,0.23
458300640,3.93,-0.92,0.66,0.71,0.88,0.07
458310720,4.00,-0.78,0.56,1.21,0.92,0.00
458320642,4.00,-0.76,0.34,1.20,1.10,-0.33
458330638,3.57,-0.79,0.39,0.92,1.09,-0.30
458340639,3.09,-0.61,0.48,0.89,0.94,-0.14
458352675,2.93,-0.34,0.36,0.89,0.89,-0.29
458362640,3.40,-0.23,0.61,0.92,0.87,-0.32
458372638,3.23,-0.38,0.68,0.96,0.74,-0.28
458382639,2.70,-0.33,0.60,0.98,0.70,-0.32
458392642,2.30,-0.48,0.70,1.06,0.68,-0.36
458402639,1.84,-0.21,0.57,1.09,0.70,-0.43
458412703,1.26,0.19,0.20,1.13,0.72,-0.43
458422667,1.03,0.22,-0.18,1.17,0.61,-0.40
458432636,0.97,0.38,-0.68,1.20,0.45,-0.37
458442639,0.76,0.57,-0.49,1.16,0.86,-0.52
458452638,0.61,0.41,-0.32,1.38,1.97,-0.78
458462649,0.37,0.23,0.03,2.15,2.56,-0.64
458472670,0.22,0.35,0.04,1.93,1.46,0.18
458482637,0.11,0.35,-0.02,1.46,0.66,0.51
458492638,0.10,0.07,-0.04,1.06,0.41,0.58
458502637,0.08,-0.17,-0.04,0.84,0.06,1.13
458512638,0.04,-0.23,-0.06,0.79,0.00,1.12
458522690,0.22,-0.12,-0.20,1.02,-0.05,0.62
458532638,0.53,0.07,-0.12,1.43,-0.16,0.16
458542657,0.64,0.22,-0.09,1.64,-0.47,-0.14
458554641,0.60,0.25,-0.21,1.87,-0.84,-0.26
458564645,0.51,0.23,-0.26,1.77,-0.38,-0.55
458574641,0.43,0.25,-0.25,1.61,-0.20,-0.42
458584756,0.41,0.27,-0.17,1.51,-0.39,-0.28
458594640,0.46,0.26,-0.16,1.46,-0.50,-0.38
458604642,0.50,0.18,-0.09,1.48,-0.50,-0.55
458614702,0.56,0.08,-0.00,1.86,-0.61,-0.69
458624673,0.63,0.04,0.02,2.12,-0.52,-0.82
458634742,0.77,0.04,0.03,2.12,-0.52,-0.82
458644658,0.98,0.09,-0.01,2.12,-0.40,-0.95
458654640,1.16,0.16,-0.03,2.09,-0.51,-1.03
458664690,1.32,0.24,-0.07,1.90,-0.59,-1.16
458674643,1.45,0.32,-0.13,1.68,-0.36,-1.27
458684733,1.43,0.36,-0.11,1.53,-0.33,-1.25
458694640,1.31,0.27,-0.06,1.30,-0.18,-1.19
458704642,1.30,0.30,-0.12,0.98,-0.05,-1.18
458714641,1.57,0.55,-0.35,0.71,-0.02,-1.14
458724643,1.94,0.66,-0.36,0.48,0.07,-0.97
458734754,2.20,0.18,-0.10,0.30,0.24,-0.92
458744652,2.26,-0.64,0.46,0.16,0.22,-0.80
458756646,2.39,-1.09,0.55,0.16,0.23,-0.67
458766642,2.39,-0.77,0.51,0.20,0.27,-0.58
458776640,2.37,-0.18,0.36,0.25,0.24,-0.51
458786726,2.48,0.10,0.20,0.34,0.12,-0.49
458796642,2.70,-0.11,0.21,0.44,0.02,-0.46
458806635,2.87,-0.39,0.31,0.48,-0.03,-0.43
458816716,2.89,-0.58,0.40,0.57,-0.11,-0.45
458826664,2.70,-0.62,0.58,0.50,-0.18,-0.35
458836736,2.70,-0.62,0.58,0.48,-0.17,-0.27
458846652,2.16,-0.71,0.86,0.51,-0.16,-0.21
458856637,1.64,-0.70,0.97,0.46,-0.12,-0.15
458866678,1.24,-0.76,1.05,0.55,-0.26,-0.12
458876654,1.04,-0.90,0.97,0.78,-0.39,-0.12
458886731,0.85,-0.87,0.70,1.00,-0.57,-0.00
458896630,0.59,-0.77,0.19,1.04,-0.27,-0.02
458906632,0.58,-0.83,0.12,1.34,0.03,-0.06
458916632,0.61,-1.02,0.04,1.55,0.53,-0.05
458926665,0.43,-0.76,-0.04,1.46,0.61,0.20
458936646,0.19,-0.53,0.16,1.31,0.86,0.18
458946645,0.12,-0.58,0.33,1.12,0.95,0.12
458958638,0.25,-0.45,0.36,1.07,2.67,0.36
458968639,0.24,-0.36,0.32,1.30,4.00,-0.23
